#{"t_start": 1788534794.198625, "env_id": "None"}
r,l,t
-2320.924105,6551,63.748396
-2085.904702,6551,128.769171
-2066.012183,6551,188.577536
-2083.753562,6551,243.706856
-2080.743469,6551,301.896722
-2079.385177,6551,370.984142
-2081.06875,6551,443.614851
-2078.051585,6551,516.16953
-2082.178777,6551,581.626082
-2087.126106,6551,649.205129
-2081.759754,6551,720.209462
-2082.701099,6551,784.12274
-2083.938185,6551,848.758226
-2084.063339,6551,918.037055
-2082.015507,6551,996.121041
-2083.227964,6551,1074.609039
-2084.047344,6551,1150.413377
-2081.281221,6551,1222.729719
-2081.026266,6551,1296.71132
-2083.253651,6551,1359.855922
-2083.169657,6551,1423.796794
-2081.303055,6551,1494.43171
